id	artist	album	genre	year	discs	speed	quality	cost	size	new	where_from
542	Billy Idol	Whiplash Smile	Punk Rock, Hard Rock, Glam Rock	1986		33					
541	DEVO	Whip It	New Wave, Synth-Pop	1980		45					
540	Bill Cosby	When I Was a Kid	Comedy	1971		33					
539	Louis Armstrong Orchestra & Chorus	What a Wonderful World	Jazz, Dixieland Jazz			45					
538	The English Beat	Wha'ppen?	Ska, Two-Tone	1981		33					
537	Barbara Streisand	Wet	Pop	1979		33					
536	Jimmy Giuffre	Western Suite	Jazz	1960		33					
535	Crystal Gayle	We Must Believe in Magic	Country	1977		33					
534	Cliff Richard	We Don't Talk Anymore	Pop Rock	1979		33					
533	The Waitresses	Wasn't Tomorrow Wonderful	New Wave, Post-Punk	1982		33					
532	Various	Walt Disney's Fantasia	Soundtrack	1940		33					
531	Ultravox	Vienna	Synth-Pop, New Wave	1981		33					
530	Squeeze	U.K. Squeeze	Rock, Hard Rock	1978		33					
529	George Frederick Handel	Two Double Concertos	Classical			33					
528	Kool & The Gang	Twice As Kool	R&B, Soul, Funk, Disco	1983		33					
527	Billy Joel	Turnstiles	Soft Rock, Pop Rock, Progressive Rock	1976		33					
526	The Blood Brothers	Rumors Laid Waste	Post-Hardcore, Screamo	2003		33					
525	Talking Heads	True Stories	New Wave, Post-Punk, Art Pop, Avant-Funk	1986		33					
524	The Jacksons	Triumph	Post-Disco, R&B, Funk, Soul	1980		33					
523	Modern Romance	Trick of the Light	Pop, New Wave, Salsa	1983		33					
522	Various	Traditional Songs of Mexico	Mexican Folk	1968		33					
521	Various	Traditional Flute Music of the Andes	Andean, Folk	1973		33					
520	Neil Diamond	Touching You Touching Me	Pop, Rock	1966		33					
519	Amazing Rhythm Aces	Too Stuffed to Jump	Southern Rock	1976		33					
518	Elton John	Too Low For Zero	Rock, Pop, New Wave	1983		33					
517	The Four Tops	Tonight	Soul, Pop	1981		33					
516	The Who	Tommy	Rock, Hard Rock, Power Pop	1969		33					
515	PotShot	til I die	Ska Punk, J-Ska	2000		33					
514	Michael Jackson	Thriller	Pop	1982		33					
513	Louis Armstrong	This is Louis Armstrong Part 1	Jazz, Dixieland Jazz			33					
512	Sly and the Family Stone	There's a Riot Goin' On	Funk, Psychedelic Funk, Avant Pop, Avant Soul	1971		33					
511	Various	Themes	Soundtrack			33					
510	Eagles	Their Greatest	Rock, Soft Rock	1976		33					
509	Yes	The Yes Album	Progressive Rock	1971		33					
508	Bruce Springsteen	The Wild, the Innocent & the Street Shuffle	Rock and Roll, Rhythm and Blues	1973		33					
507	John Willbraham	The Well-Tempered Trumpet	Classical			33					
506	Bill Monroe	The Weary Traveler	Bluegrass, Gospel, Country, Folk	1976		33					
505	Johann Strauss	The Vienna of Johann Strauss	Classical			33					
504	Link 80	The Struggle Continues...	Punk Rock, Pop Punk, Ska Punk, Skacore	2000		33					
503	Billy Joel	The Stranger	Rock, Pop	1977		33					
502	The Who	The Story of the Who	Rock, Hard Rock, Power Pop	1976		33					
501	Scott Joplin	The Sting	Soundtrack, Ragtime	1973		33					
500	Ravi Shankar	The Sounds of India	Hindustani Classical	1968		33					
499	George Frederick Handel	The Six Organ Concertos and Six Fugues	Classical			33					
498	Carpenters	The Singles: 1969-1973	Pop	1973		33					
497	Various	The Singing Detective	Soundtrack	1986		33					
496	Mike Seeger	The Second Annual Farewell Reunion	Folk	1973		33					
495	Various	The Royal Tournament 1985	Classical			33					
494	George Frederick Handel	The Popular Mr. Handel	Classical			33					
493	Gary Numan	The Pleasure Principle	Synth-Pop, New Wave	1979		33					
492	Holst	Planets	Classical			33					
491	The Photos	The Photos	New Wave	1980		33					
490	10cc	The Original Soundtrack	Art Rock, Progressive Pop, Soft Rock	1975		33					
489	Billy Joel	The Nyon Curtain	Pop Rock, Soft Rock	1982		33					
488	Leon Russell & New Grass Revival	The Live Album	Newgrass	2007		33					
487	Various	The King of Comedy	Soundtrack	1982		33					
486	Neil Diamond	The Jazz Singer	Pop, Jazz	1980		33					
485	Dallas Corey	The History of the American Revolution	Spoken Word, History			33					
484	Various	The Good Times in Country Music	Country			33					
483	Smothers Brothers	The Funny Side of the Smothers Brothers	Comedy	1963		33					
482	Antonio Vivaldi	The Four Seasons	Classical, Baroque	1725		33					
481	Mireille Mathieu	The Fabulous New French Singing Star	Pop, French	1966		33					
480	Les Paul and Mary Ford	The Fabulous Les Paul and Mary Ford	Jazz, Country	1965		33					
479	David Grisman	The David Grisman Quintet	Americana, Progressive Bluegrass, Folk	1977		33					
478	The Rah Band	The Crunch	Jazz-Funk, Synthpop, Electronic	1977		45					
477	Big Country	The Crossing	Alternative Rock, New Wave, Folk Rock	1983		33					
476	Various	The Concert for Bangladesh	Rock, Folk	1971		33					
475	The Cars	The Cars	New Wave, Power Pop	1978		33					
474	Various	The Big Chill	Soundtrack	1983		33					
473	AJJ	The Bible 2	Folk Punk, Art Rock, Psychedelic Folk, Lo-Fi	2016		33					
472	Sparks	The Best of Sparks	Art Rock, Glam Rock, New Wave	1978		33					
471	Michael Nesmith	The Best of Mike Nesmith	Rock, Folk, Country			33					
470	Count Basie	The Best of Count Basic Big Band	Jazz, Big Band, Swing	1988		33					
469	The Beatles	The Beatles	Rock, Pop, Folk	1968		33					
468	The Beach Boys	The Beach Boys Today!	Orchestrated Rock	1965		33					
467	Various	The All American Pop Collection	Pop			33					
466	Buggles	The Age of Plastic	New Wave, Electropop, Progressive Pop	1980		33					
465	Thin Lizzy	The Adventures of Thin Lizzy	Hard Rock, Blues Rock	1981		33					
464	Thao & Mirah	Thao & Mirah	Indie Rock	2011		33					
463	Alberto Y Lost Trios	Thank You				45					
462	Antonio Carlos Jobim	Terra Brasilis	Bossa Nova	1980		33					
461	Tenpole Tudor	Tenpole Tudor	Punk Rock, New Wave	1981		33					
460	The Motors	Tenement Steps	Rock	1980		33					
459	George Benson	Tell it Like it is	Jazz	1969		33					
458	Cat Stevens	Tea for the Tillerman	Folk Rock	1970		33					
457	Fleetwood Mac	Tango in the Night	Pop Rock	1987		33					
456	Air	Talkie Walkie	Electronica, Pop	2004		33					
455	What Laura Says	Talk	Rock, Blues Rock	2012		33					
454	Matrix	Tale of the Whale	Jazz Fusion	1979		33					
453	Peter Tchaikovsky	Symphony No. 6	Classical			33					
452	Wolfgang Mozart & Haydn	Symphony No. 41 & Haydn Symphony No. 94	Classical			33					
451	Wolfgang Amadeus Mozart	Symphony No. 41 & 35	Classical			33					
450	Sibelius	Symphony No. 2	Classical			33					
449	Jive Bunny and the Mastermixers	Swing the Mood	Pop, Rock and Roll	1989		45					
448	Barbara Dickson	Sweet Oasis	Pop	1978		33					
447	Ian Dury & the Blockheads	Sweet Gene Vincent	Punk Rock, Rock and Roll	1977		45					
446	ABBA	Super Trouper	Pop	1980		33					
445	Three Dog Night	Suitable for Framing	Rock	1969		33					
444	The Who	Substitute	Rock, Hard Rock, Power Pop	1966		45					
443	Sublime	Sublime	Ska Punk, Reggae Rock, Alternative Rock	1996		33					
442	Stuff Smith	Stuff Smith	Jazz	1957		33					
440	Billy Joel	Streetlife Serenade	Pop Rock, Soft Rock	1974		33					
439	The Acme Bluegrass Company, Inc.	Stranded Again	Bluegrass			33					
438	Talking Heads	Stop Making Sense	New Wave, Post-Punk, Art Pop, Avant-Funk	1984		33					
437	Paul Simon	Still Crazy After All These Years	Folk Rock, Pop Rock, Soul	1975		33					
436	Stephane Grappelli & David Grisman	Stephane Grappelli & David Grisman Live	Americana, Newgrass, Gypsy Jazz	1981		33					
435	Kiki Dee	Stay With Me	Pop	1978		33					
434	XTC	Statue of Liberty	Art Rock, Post-Punk, New Wave	1978		45					
433	Stanley Jordan	Standards Volume I	Jazz, Jazz Fusion	1986		33					
432	Jack Weigand	Stairway to the Stars	Jazz, Lounge	1960		33					
431	Andy Fairweather Low	Spider Jiving	Pop Rock	1974		45					
430	Woodie Guthrie	Songs to Grown On for Mother and Child	Folk, Americana	1947		33					
429	Captain & Tennille	Song of Joy	Pop	1976		33					
428	The Stranglers	Something Better Change/Straighten Out	Punk Reggae	1977		45					
427	Various	Solitudes: Environmental Sounds Experiences	Sound			33					
426	The English Congregation	Softly Whispering I Love You	Pop, Vocal	1971		33					
425	Eric Clapton	Slowhand	Rock	1977		33					
424	Dr. Hook	Sloppy Seconds	Counrty Rock	1972		33					
423	Stevie Wonder	Sir Duke	R&B, Soul	1977		45					
422	Boz Scaggs	Silk Degrees	Blue-Eyed Soul, Rock, Blues Rock, Soft Rock	1976		33					
421	Various	Sidewalks of New York	Soundtrack			33					
420	Buffy Sainte-Marie	She Used to Wanna be a Ballerina	Folk Rock	1971		33					
419	Various	Saturday Night Fever	Soundtrack	1977		33					
418	Chris Proctor	Runoff	Folk, Blues			33					
417	Jackson Browne	Running on Empty	Rock	1977		33					
416	Fleetwood Mac	Rumours	Soft Rock, Pop	1977		33					
415	Poco	Rose of Cimarron	Country Rock	1976		33					
414	The Tigers	Romance in the Milky Way/Flower Necklace	Group Sounds, Baroque Pop	1968		45					
413	Ramones	Rockaway Beach	Punk Rock	1977		33					
412	Various	Rock 'N' Roll High School	Soundtrack	1979		33					
411	PotShot	Rock 'n' Roll	Ska Punk, J-Ska	1999		33					
410	Ike & Tina Turner	River Deep ~ Mountain High	Soul, R&B, Blues	1966		33					
409	Wolfgang Amadeus Mozart	Requiem	Classical			33					
408	Thin Lizzy	Renegade	Hard Rock	1981		33					
407	Edwin L Baron	Relaxation and Self-Improvement	Relaxation, Self-Improvement			33					
406	Various	Reflections: Original Instrumental Hits	Instrumental			33					
405	The Tourists	Reality Effect	Post-Punk, Power Pop	1979		33					
404	Dylan Thomas	Reading	Spoken Word			33					
403	The Boomtown Rats	Rat Trap	Punk Rock, New Wave	1978		45					
402	Nat King Cole	Ramblin' Rose	Jazz, Croon	1962		33					
401	Ultravox	Rage in Eden	Synth-Pop, New Wave	1981		33					
400	Ultravox	Quartet	Synth-Pop, New Wave	1982		33					
399	The Who	Quadrophenia	Rock, Hard Rock, Power Pop	1973		33					
398	Prince	Purple Rain	Pop, R&B, Rock, Psychedelia, New Wave, Funk	1984		33					
397	Daryl Hall and John Oates	Private Eyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1981		33					
396	Linda Ronstadt	Prisoner in Disguise	Rock, Country Rock	1975		33					
395	Michael Nesmith	Pretty Much Your Standard Ranch Stash	Country Rock	1973		33					
394	PotShot	Pots and Shots	Ska Punk, J-Ska	1997		33					
393	Various	Playboy Manbaby, Petty Things, Cherie Cherie	Rock			45					
392	Huey Lewis and the News	Picture This	Rock, Pop Rock	1981		33					
391	Billy Joel	Piano Man	Pop Rock, Soft Rock, Country Rock	1973		33					
390	People Get Ready	People Get Ready	Indie Rock	2012		33					
389	The Stranglers	Peaches	Punk Reggae	1977		45					
388	Ultravox	Passionate Reply	Synth-Pop, New Wave	1981		45					
387	Parenthetical Girls	(((GRRRLS)))	Indie Rock	2003		33					
386	Styx	Paradise Theatre	Pop Rock, Rock	1981		33					
385	Steeleye Span	Original Masters	Folk Rock	1986		33					
384	Jerry Lee Lewis	Original Golden Hits - Volume 2	Rock and Roll	1969		33					
383	Orchestral Manoeuvres in the Dark	Organisation	Electronic, New Wave, Synth-Pop, Experimental	1980		33					
382	George Frederick Handel	Organ Concertos	Classical			33					
381	Shannon & the Clams	Onion	Garge Punk, Rockabilly, Doo-Wop	2018		33					
380	Michael Jackson	One Day in Your Life	Pop	1981		45					
379	The Moody Blues	On the Threshold of Dream	Progressive Rock	1969		33					
378	Harry Chapin	On the Road to Kingdom Come	Pop Rock	1976		33					
377	Charlie Monroe	On the Noon-Day Jamboree	Bluegrass, Gospel, Country, Folk	1974		33					
376	Union	On Strike	Rock	1981		33					
375	George Carlin	Occupation Foole	Comedy	1973		33					
374	Lynyrd Skynyrd	Nuthin' Fancy	Southern Rock, Blues Rock, Hard Rock	1975		33					
373	Carly Simon	No Secrets	Pop Rock	1972		33					
372	Daryl Hall and John Oates	No Goodbyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1977		33					
371	Kenny Loggins	Nightwatch	Rock, Soft Rock	1978		33					
370	Queen	News of the World	Hard Rock, Arena Rock	1977		33					
369	Tatsuya Nakatani	Nakatani Gong Orchestra	Gong	2012		33					
368	Various	Music from the Galaxies				33					
367	George Frederick Handel	Music for the Royal Fireworks	Classical			33					
366	MU330	MU330	Ska Punk, Punk Rock, Indie Rock	1999		33					
365	Herman's Hermits	Mrs. Brown You Have A Lovely Daughter	Beat, Pop	1963		33					
364	Barbara Dickson	Morning Comes Quickly	Pop	1977		33					
363	The Specials	More Specials	Ska, Two Tone	1980	1	33	Good	7	12	No	Liz
362	Golden Earring	Moontan	Hard Rock, Progressive Rock	1973		33					
361	Glochids	Null Sound	Soundtrack	2018		45					
360	Thelonious Monk	Misterioso	Jazz, Hard Bop	1958		33					
359	Medeski, Martin & Wood	Midnight Birds	Jazz Fusion			33					
358	George Frederick Handel	Messiah	Classical			33					
357	Various	Memories				33			12		
356	Yeah Yeah Yeahs	Fever to Tell	Garage Rock Revival, Art Punk	2003		45					
355	The Bee Gees	Massachusetts	Pop	1967		45					
354	Mark Russell	Mark Russell's Wild, Weird, Wired World of Watergate	Spoken Word			33					
353	Roy Neal	Man on the Moon: The Flight of Apollo 11	History	1969		33					
352	Madness	Madness	Ska, Two Tone	1988		33					
351	Madness	Mad Not Mad	Ska, Two Tone	1985		33					
350	Various	Luz De Vida: A Compilation to Benefit the Victims of the Tucson Tragedy	Rock, Latin, Funk, Soul, Country	2011		33					
349	Kiki Dee	Loving & Free	Pop	1973		33					
348	The Boomtown Rats	Lookin' After No. 1	Punk Rock, New Wave	1977		45					
347	Wings	London Town	Rock	1978		33					
346	Daryl Hall and John Oates	Livetime	Pop Rock, Blue-Eyed Soul, Soft Rock	1978		33					
345	The Who	Live at Leeds	Rock, Hard Rock, Power Pop	1970		33					
344	John Coltrane	Live at Birdland	Jazz	1964		33					
343	Monty Python	Live and City Center	Comedy	1976		33					
342	The Doors	Light My Fire	Psychedelic Rock	1967		45					
341	Bright Eyes	Lifted or The Story is in the Soil, Keep Your Ear to the Ground	Indie Rock, Indie Folk	2002		33					
340	Orleans	Let There Be Music	Soft Rock	1974		33					
339	Kansas	Leftoverture	Rock	1976		33					
338	Stevie Wonder	Lately	R&B, Soul	1981		45					
337	Al Di Meola	Land of the Midnight Sun	Jazz, Jazz Fusion	1976		33					
336	Claude Debussy	La Mer and Iberia	Classical			33					
335	Andy Fairweather Low	La Booga Rooga	Pop Rock	1975		33					
334	INXS	Kick	New Wave, Alternative Rock	1987		33					
333	KC & The Sunshine Band	KC & The Sunshine Band	Disco, Funk	1982		33					
332	Bob Dylan	John Wesley Harding	Folk Rock, Country Rock, Country	1967		33					
331	Various	Jesus Christ Superstar	Musical	1970		33					
330	Queen	Jazz	Hard Rock, Heavy Metal, Pop, Arena Rock	1978		33					
329	J.S. Bach	Italian Concerto, French Overture	Classical, Baroque			33					
328	The Rolling Stones	It's Only Rock 'n' Roll	Rock and Roll, Blues Rock, Funk Rock	1974		33					
327	Godley & Creme	Ismism	Rock, Pop Rock, New Wave	1981		33					
326	Les McCann	Invitation to Openness	Jazz	1971		33					
325	Linx	Intuition	Brit Funk, Soul	1981		33					
324	Bill Monroe and his Bluegrass Boys	In the Pines	Bluegrass, Gospel, Country, Folk	1952		33					
323	Pat Benatar	In the Heat of the Night	Hard Rock, Pop Rock	1979		33					
322	Grateful Dead	In the Dark	Rock	1987		33					
321	Miram Makeba	In Concert!	Afropop, Jazz, African	1968		33					
320	John Lennon	Imagine	Soft Rock, Pop	1971		33					
319	X-Ray Spex	IAMA POSEUR	Punk Rock, New Wave	1977		45					
318	The Kiki Dee Band	I've Got the Music in Me	Pop	1974		33					
317	Bonnie 'Prince' Billy	i see a darkness	Indie Folk	1999		33					
316	Art Garfunkel	I Only Have Eyes For You	Folk, Pop	1975		45					
315	Louis Armstrong and the All-Stars	I Love Jazz	Jazz, Dixieland Jazz			33					
314	10cc	How dare you!	Progressive Rock, Art Rock, Sophisti-pop, Experimental	1976		33					
313	George Frederick Handel	Highlights from Messiah	Classical			33					
312	Graham Parker	Heat Treatment	Rock	1976		33					
311	Tim Buckley	Happy Sad	Folk Jazz, Folk Rock, Psychedelic Rock	1968		33					
310	Daryl Hall and John Oates	H2O	Pop Rock, Blue-Eyed Soul, Soft Rock	1982		33					
309	Monks of the Benedictine Abbey	Gregorian Chants	Gregorian Chant			33					
308	Elton John	Greatest Hits Volume II	Rock, Pop, Glam Rock	1977		33					
307	Barbara Streisand	Greatest Hits Volume 2	Pop			33					
306	The Four Tops	Greatest Hits	Soul, Pop	1967		33					
305	Steeley Dan	Greatest Hits	Soft Rock, Folk Rock	1978		33					
303	Elton John	Greatest Hits	Rock, Pop, Glam Rock	1974		33					
302	Donovan	Greatest Hits	Folk, Pop, Psychedelia	1969		33					
301	Various	Grease	Musical	1971	2	33					
300	Elton John	Goodbye Yellow Brick Road	Rock, Pop, Glam Rock	1973		33					
299	AJJ	Good Luck Everybody	Folk Punk, Art Rock, Psychedelic Folk, Lo-Fi	2020		33					
298	Barclay James Harvest	Gone to Earth	Progressive Rock	1977		33					
297	The Drifter's	Golden Hits	Doo-Wop	1968		33					
296	The Ventures	Golden Greats	Surf Rock	1967		33					
295	Various	Golden Barbershop Ballads	Barbershop			33					
294	Climax Blues Band	Gold Plated	Blues Rock, Soft Rock, Soul	1976		33					
293	The Knack	Get the Knack	Power Pop, New Wave	1979		45					
292	Ike & Tina Turner	Get It-Get It!	Soul, R&B, Blues	1966		33					
291	Megafaun	Gather, Form & Fly	Psychedelic Folk	2009		33					
290	Bette Midler	From a Distance	Pop	1990		45					
289	Shalamar	Friends	Urban, Soul, R&B, Post-Disco	1982		33					
288	Yes	Fragile	Progressive Rock	1971		33					
287	Steeley Dan	Four Tracks from Steeley Dan	Soft Rock, Folk Rock	1978		33					
286	Anton Dvorak	Four Slavonic Dances	Classical	1878		33					
285	Bad Manners	Forging Ahead	Ska, Two-Tone	1982		33					
284	The Isley Brothers	Forever Gold	R&B, Soul, Funk, Rock	1977		33					
283	Manfred Mann	For Sale: Semi-Detached Suburban	Rock, Psychedelic Pop			33					
282	Fleetwood Mac	Fleetwood Mac	Soft Rock, Pop	1975		33					
281	Buffy Sainte-Marie	Fire & Fleet & Candlelight	Folk Rock	1967		33					
280	Chuck Mangione	Feels So Good	Jazz, Smooth Jazz	1989		33					
279	Heinz Holliger	Famous Oboe Concertos	Classical			33					
278	Sad Cafe	Facades	Soft Rock	1980		33					
277	Survivor	Eye of the Tiger	Hard Rock	1982		33					
276	The Moody Blues	Every Good Boy Deserves Favour	Progressive Rock	1971		33					
275	Buzzcocks	Ever Fallen In Love	Punk Rock, Power pop, New Wave	1978		45					
274	Leo Sayer	Endless Flight	Pop Rock, Soft Rock, Disco	1976		33					
273	Barbara Streisand	Emotion	Pop	1984		33					
270	Electric Light Orchestra	Eldorado	Progressive rock	1974		33					
269	Blondie	Eat to the Beat	New Wave, Punk Rock	1979		33					
268	Earl Klugh	Earl Klugh	Jazz, Smooth Jazz, Pop	1976		33					
267	Rainbow	Down to Earth	Hard Rock, Heavy Metal	1979		33					
266	Slow Gherkin	Double Happiness	Ska Punk	1993		33					
265	Jungle Brothers	Doin' Our Own Dang	Hip Hip, Electronica	1990		33					
263	Pete Fountain	Dixieland	Jazz, Dixieland Jazz			33					
262	Various	Dita Von Teese - Soundtrack for Seduction	Soundtrack	2016	1	33	Like New	25	12	Yes	Internet
261	Bad Company	Desolation Angels	Hard Rock, Blues Rock	1979		33					
260	Bob Dylan	Desire	Folk Rock	1976		33					
259	Dean Friedman	Dean Friedman	Soft Rock, Pop, Folk	1977		33					
258	David Grisman	Dawg Grass	Americana, Newgrass, Jazz	1982		33					
257	Various	Dance Craze	Ska	1981		33					
256	Trio	Da Da Da	Neue Deutsche Welle, New Wave, Minimalism	1981		45					
255	The Clash	Cut the Crap	Punk Rock	1985		33					
254	La Sabrosona	Cuarteto Ysidoro Flores y Otros				33					
253	Crystal Gayle	Crystal	Country	1976		33					
252	Supertramp	Crisis? What Crisis?	Progressive Rock	1975		33					
251	Pat Benatar	Crimes of Passion	Hard Rock, Pop Rock	1980		33					
250	Jimi Hendrix	Crash Landing	Rock	1975		33					
249	MU330	crab rangoon	Ska Punk, Punk Rock, Indie Rock	1997		33					
248	Count Basie	Count Basie & His Orchestra - 1937	Jazz, Big Band, Swing	1937		33					
247	Styx	Cornerstone	Rock	1979		33					
246	Peter Tchaikovsky	Concerto No. 1	Classical			33					
245	Nick Gilder	City Nights	Pop Rock	1978		33					
244	The Shins	Chutes Too Narrow	Indie Rock	2003		33					
243	Christopher Cross	Christopher Cross	Pop, Rock, Soft Rock	1979		33					
242	Various	Children of Paris	Childrens			33					
241	David Bowie	Changes One	Rock, Glam Rock, Art Rock	1976		33					
240	David Bowie	Changes	Glam Rock, Art Rock	1971		45					
239	Ornette Coleman	change of the century	Jazz, Free Jazz	1960		33					
238	Carole Bayer Sager	Carole Bayer Sager	Pop	1977		33					
237	Steeley Dan	Can't Buy a Thrill	Soft Rock, Folk Rock	1972		33					
236	Progress	Busy Making Progress		1978		33					
235	Men At Work	Business as Usual	New Wave, Reggae Rock, Pop Rock	1982		33					
234	Bryan Ferry	These Foolish Things	Rock, Glam Rock	1973		33					
233	Simon & Garfunkel	Bridge Over Troubled Water	Folk Rock	1970		33					
232	Van Dyke Parks	Brer Rabbit	Soundtrack, Orchestral Pop	1984		33					
231	Pointer Sisters	Break Out	R&B, Pop, Soul	1983		33					
230	Boston	Boston	Hard Rock	1976		33					
229	Simon & Garfunkel	Bookends	Folk Rock	1968		33					
228	Born Ruffians	Birthmarks	Indie Rock	2013		33					
227	Tune Yards	Bird-Brains	Lo-Fi	2009		33					
226	Janis Ian	Between the Lines	Folk, Adult Contemporary	1975		33					
225	Daryl Hall and John Oates	Beauty on a Back Street	Pop Rock, Blue-Eyed Soul, Soft Rock	1977		33					
224	Tempe Union H.S.	Beat of the Buffs	Marching Band			33					
223	Andy Fairweather Low	Be Bop 'N' Holla	Pop Rock	1976		33					
222	Meat Loaf	Bat Out of Hell	Hard Rock, Pop, Progressive Rock	1977		33					
221	The Dickies	Banana Splits	Punk Rock, Pop Punk	1979		45					
220	Bad Manners	Ska 'n' B	Ska, Two-Tone	1980		33					
219	Michael Jackson	Bad	Pop	1987		33					
218	AC/DC	Back in Black	Hard Rock, Heavy Metal, Arena Rock	1980		33					
217	Lindisfarne	Back and Fourth	Folk Rock	1978		33					
216	ABBA	Arrival	Pop, Euro Disco	1976		33					
215	Various	Arizona Sounds Volume Two	Rock, Jazz, Blues	1978		33					
214	Orchestral Manoeuvres in the Dark	Architecture & Morality	Electronic, New Wave, Synth-Pop, Experimental	1981		33					
213	Barbara Dickson	Answer Me	Pop	1976		33					
212	Queen	Another One Bites the Dust	Rock, Disco	1980		45					
211	Genesis	And Then There Were Three	Pop Rock	1978		33					
210	Billy Joel	An Innocent Man	Pop Rock, Soft Rock, Doo-Wop	1983		33					
209	Cheyenne Mize	Among the Grey	Folk	2013		33					
208	Cheyenne Mize and Bonnie 'Prince' Billy	Among the Gold	Folk, Parlor	2009		33					
207	Willie Nelson	Always On My Mind	Counrty, Pop, Rock and Roll	1982		33					
206	Asia	Alpha	Progressive Rock, Pop Rock	1983		33					
205	KC & The Sunshine Band	All In A Night's Work	Disco, Funk	1975		33					
204	Pearl Jam	Alive	Grunge, Rock	1991		45					
203	Iannis Xenakis	Akrata - Achorripsis	Classical, Experimental	1969		33					
202	Steeley Dan	aja	Jazz Rock	1977		33					
201	Steve Martin	A Wild and Crazy Guy	Comedy	1978		33					
200	Renaissance	A Song for All Seasons	Progressive Rock	1978		33					
199	The Moody Blues	A Question of Balance	Progressive Rock	1970		33					
198	Billy Joel	52nd Street	Rock, Jazz Rock	1978		33					
197	Sublime	40oz to Freedom	Ska Punk, Reggae Rock	1992		33					
196	Various	25 Rock Revival Greats	Rock 'N' Roll			33					
195	Various	2001 a space odyssey	Soundtrack	1968		33					
194	Buddy Holly	20 Golden Greats	Rock and Roll, Rockabilly, Pop, Country	1958		33					
193	Various	20 Famous Country Hits	Country			33					
192	Gladys Knight & The Pips	2 Record Set	R&B, Soul, Pop			33					
191	Leo Kottke	1971-1976	Folk, Country, American Primitive Guitar	1976		33					
190	Peter Tchaikovsky	1812 Overture	Classical			33					
189	Michael Jackson	18 Greatest Hits	Pop			33					
188	Peter, Paul & Mary	10 Years Together	Folk	1970		33					
187	French Quarter	French Quarter	Folk, Bedroom Pop	2007		33					
186	Whitney Houston	Whitney Houston	Pop, R&B	1985		33					
185	George Moustaki		French, Pop			33					
184	Toto	Toto	Progressive Rock, Jazz Rock, R&B, Hard Rock	1978		33					
183	Toto	IV	Rock	1982		33					
182	Earth, Wind & Fire	I Am	R&B, Soul, Disco, Funk	1979		33					
181	Electric Light Orchestra	ELO II	Progressive rock	1973		33					
180	Earth, Wind & Fire	Raise!	R&B, Soul, Post-Disco, Funk	1981		33					
179	Asia	Asia	Progressive Rock, Pop Rock	1982		33					
178	Crosby, Stills & Nash	Crosby, Stills & Nash	Folk Rock,   Soft Rock, Blues Rock, Jazz Rock	1969		33					
177	Chicago	Chicago X	Rock	1976		33					
176	DEVO	New Traditionalists	New Wave, Synth-Pop	1984	1	33	Bad	4	12	No	Ghost of Eastside
